"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"microsoft.databasewatcher/watchers","Database watcher","Database watchers","database watcher","database watchers","false","Database watcher is a managed monitoring solution for database services in the Azure SQL family. Create a watcher to monitor your Azure SQL estate in depth and with low latency.","https://microsoft.github.io/finops-toolkit/svg/microsoft.databasewatcher/watchers.svg",""
"microsoft.databox/jobs","Azure Data Box","Azure Data Box","azure data box","azure data box","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.databox/jobs.svg",""
"microsoft.databoxedge/databoxedgedevices","Azure Stack Edge / Data Box Gateway","Azure Stack Edge / Data Box Gateway","azure stack edge / data box gateway","azure stack edge / data box gateway","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.databoxedge/databoxedgedevices.svg",""
"microsoft.databricks/accessconnectors","Access Connector for Azure Databricks","Access Connector for Azure Databricks","access connector for azure databricks","access connectors for azure databricks","false","Unity Catalog provides unified governance for all data and AI assets in your Lakehouse. Unity Catalog can be configured to use an Azure managed identity to access storage containers on behalf of Unity Catalog users. Managed identities provide an identity for applications to use when they connect to resources that support Microsoft Entra ID authentication.","https://microsoft.github.io/finops-toolkit/svg/microsoft.databricks/accessconnectors.svg","[{""title"":""Documentation"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2281480""}]"
"microsoft.databricks/workspaces","Azure Databricks Service","Azure Databricks Services","azure databricks service","azure databricks services","false","Unlock insights from all your data and build artificial intelligence (AI) solutions with Azure Databricks, set up your Apache Spark environment in minutes, autoscale, and collaborate on shared projects in an interactive workspace.","https://microsoft.github.io/finops-toolkit/svg/microsoft.databricks/workspaces.svg",""
"microsoft.datacatalog/catalogs","Data catalog","Data catalogs","data catalog","data catalogs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datacatalog/catalogs.svg",""
"microsoft.datacollaboration/workspaces","Project CI","Project CI","Project CI","Project CI","false","Share data simply and safely from multiple sources with other organizations. Easily control what you share, who receives your data, and the terms of use. Project CI provides full visibility into your data sharing relationships with a user-friendly interface. Share data in just a few clicks, or build your own application using REST APIs.","https://microsoft.github.io/finops-toolkit/svg/microsoft.datacollaboration/workspaces.svg","[{""title"":""Learn more"",""uri"":""https://docs.microsoft.com/azure/data-share""}]"
"microsoft.datadog/agreements","Microsoft.Datadog agreement","Microsoft.Datadog agreements","microsoft.datadog agreement","microsoft.datadog agreements","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datadog/agreements.svg",""
"microsoft.datadog/monitors","Datadog","Datadog - An Azure Native ISV Service","Datadog","Datadog - An Azure Native ISV Service","false","Azure Native ISV Services enable you to easily provision, manage, and tightly integrate independent software vendor (ISV) software and services on Azure. This service is developed and managed by Microsoft and Datadog. Datadog - An Azure Native ISV Service reduces the learning curve to monitor the health and performance of your workloads and provides a streamlined experience for configuring and managing Datadog directly inside the Azure Portal.","https://microsoft.github.io/finops-toolkit/svg/microsoft.datadog/monitors.svg","[{""title"":""Learn more about Datadog"",""uri"":""https://learn.microsoft.com/azure/partner-solutions/datadog/overview""}]"
"microsoft.datadog/subscriptionstatuses","Microsoft.Datadog subscription statuse","Microsoft.Datadog subscription statuses","microsoft.datadog subscription statuse","microsoft.datadog subscription statuses","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datadog/subscriptionstatuses.svg",""
"microsoft.datafactory/datafactories","Data factory","Data factories","data factory","data factories","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datafactory/datafactories.svg",""
"microsoft.datafactory/factories","Data factory (V2)","Data factories (V2)","data factory (V2)","data factories (V2)","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datafactory/factories.svg",""
"microsoft.datafactory/factories/pipelines","Data Factory pipeline","Data Factory pipelines","Data Factory pipeline","Data Factory pipelines","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datafactory/factories/pipelines.svg",""
"microsoft.datafactory/factories/triggers","Data Factory trigger","Data Factory triggers","Data Factory trigger","Data Factory triggers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datafactory/factories/triggers.svg",""
"microsoft.datalakeanalytics/accounts","Data Lake Analytics account","Data Lake Analytics accounts","data lake analytics","data lake analytics","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datalakeanalytics/accounts.svg",""
"microsoft.datalakestore/accounts","Data Lake Storage Gen1","Data Lake Storage Gen1","data lake storage gen1","data lake storage gen1","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datalakestore/accounts.svg",""
"microsoft.datamigration/databasemigrations","Microsoft.DataMigration database migration","Microsoft.DataMigration database migrations","microsoft.datamigration database migration","microsoft.datamigration database migrations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datamigration/databasemigrations.svg",""
"microsoft.datamigration/migrationservices","Microsoft.DataMigration migration service","Microsoft.DataMigration migration services","microsoft.datamigration migration service","microsoft.datamigration migration services","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datamigration/migrationservices.svg",""
"microsoft.datamigration/services","Azure Database Migration Service (classic)","Azure Database Migration Services","azure database migration service (classic)","azure database migration services","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datamigration/services.svg",""
"microsoft.datamigration/services/projects","Azure Database Migration Project","Azure Database Migration Projects","azure database migration project","azure database migration projects","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datamigration/services/projects.svg",""
"microsoft.datamigration/sqlmigrationservices","Azure Database Migration Service","Azure Database Migration Services","azure database migration service","azure database migration services","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datamigration/sqlmigrationservices.svg",""
"microsoft.dataprotection/backupvaults","Backup vault","Backup vaults","backup vault","backup vaults","false","Data protection strategy keeps your business running when unexpected events occur. Get started by creating a Backup vault.","https://microsoft.github.io/finops-toolkit/svg/microsoft.dataprotection/backupvaults.svg","[{""title"":""Learn more about Backup"",""uri"":""http://aka.ms/backup-learn-more""}]"
"microsoft.dataprotection/resourceguards","Resource Guard","Resource Guards","resource guard","resource guards","false","Resource Guard lets you secure critical operations on Recovery Services vaults associated with it, giving you enhanced protection against data loss. Get started by creating a Resource Guard.","https://microsoft.github.io/finops-toolkit/svg/microsoft.dataprotection/resourceguards.svg","[{""title"":""Learn more about Resource Guard"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2174444""}]"
"microsoft.datareplication/replicationfabrics","Microsoft.DataReplication replication fabric","Microsoft.DataReplication replication fabrics","microsoft.datareplication replication fabric","microsoft.datareplication replication fabrics","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datareplication/replicationfabrics.svg",""
"microsoft.datareplication/replicationfabrics/fabricagents","Microsoft.DataReplication replication fabrics fabric agent","Microsoft.DataReplication replication fabrics fabric agents","microsoft.datareplication replication fabrics fabric agent","microsoft.datareplication replication fabrics fabric agents","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datareplication/replicationfabrics/fabricagents.svg",""
"microsoft.datareplication/replicationfabrics/fabricagents/operations","Microsoft.DataReplication replication fabrics fabric agents operation","Microsoft.DataReplication replication fabrics fabric agents operations","microsoft.datareplication replication fabrics fabric agents operation","microsoft.datareplication replication fabrics fabric agents operations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datareplication/replicationfabrics/fabricagents/operations.svg",""
"microsoft.datareplication/replicationfabrics/operations","Microsoft.DataReplication replication fabrics operation","Microsoft.DataReplication replication fabrics operations","microsoft.datareplication replication fabrics operation","microsoft.datareplication replication fabrics operations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datareplication/replicationfabrics/operations.svg",""
"microsoft.datareplication/replicationvaults","Data replication vault","Data replication vaults","data replication vault","data replication vaults","false","Data replication vault","https://microsoft.github.io/finops-toolkit/svg/microsoft.datareplication/replicationvaults.svg",""
"microsoft.datareplication/replicationvaults/alertsettings","Microsoft.DataReplication replication vaults alert setting","Microsoft.DataReplication replication vaults alert settings","microsoft.datareplication replication vaults alert setting","microsoft.datareplication replication vaults alert settings","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.datareplication/replicationvaults/alertsettings.svg",""
